"0 = unlimited","0 = sem limite"
"AI Provider","Provedor IA"
"AI Provider:","Provedor IA:"
"AI Summary","Resumo da IA"
"AI tokens this month: %1 (unlimited)","Tokens de IA no mês: %1 (sem limite)"
"AI tokens this month: %1 of %2","Tokens de IA no mês: %1 de %2"
"API","API"
"Action","Ação"
"Actions","Ações"
"Admin access required","Admin access required"
"All","Todas"
"All websites (global)","Todos os websites (global)"
"Analyses older than this number of days will be removed","Análises mais antigas que este número de dias serão removidas"
"Analysis","Análise"
"Analysis #%1","Análise #%1"
"Analysis #:","Análise #:"
"Analysis Scope","Escopo da Análise"
"Analysis completed. Refreshing…","Análise concluída. Atualizando…"
"Analysis not found.","Análise não encontrada."
"Analysis queued. Waiting for processing…","Análise na fila. Aguardando processamento…"
"Analysis running…","Análise em execução…"
"Analysis scheduled successfully","Análise agendada com sucesso"
"Analysis with ID %1 not found.","Analysis with ID %1 not found."
"Analysis with id %1 not found","Analysis with id %1 not found"
"Analyze Now","Analisar Agora"
"Anthropic API Key (Claude)","Anthropic API Key (Claude)"
"At least two completed analyses are required to compare.","São necessárias ao menos duas análises concluídas para comparar."
"Automatic Analysis","Análise Automática"
"Automatically removes old analyses via cron","Remove automaticamente análises antigas via cron"
"Back to History","Voltar para o Histórico"
"Back to Recommendations","Voltar para Recomendações"
"Category","Categoria"
"Category:","Categoria:"
"Claude Model","Modelo Claude"
"Clear filters","Limpar filtros"
"Collector","Collector"
"Collector Data","Dados do Collector"
"Collector Results","Resultados dos Collectors"
"Collector:","Collector:"
"Comparing #%1 with #%2","Comparando #%1 com #%2"
"Completed","Concluído"
"Critical","Crítico"
"Cron","Cron"
"Current Score","Score Atual"
"Dashboard","Dashboard"
"Data Cleanup","Limpeza de Dados"
"Data retention (days)","Retenção de dados (dias)"
"Date","Data"
"Days without sale (alert)","Dias sem venda (alerta)"
"Dismiss","Dispensar"
"Dismiss Recommendation","Dispensar Recomendação"
"Dismissed","Dispensado"
"E.g.: claude-sonnet-4-6","Ex: claude-sonnet-4-6"
"E.g.: gemini-2.5-flash (free)","Ex: gemini-2.5-flash (gratuito)"
"E.g.: gpt-4o","Ex: gpt-4o"
"Egsn","Egsn"
"Email Notifications","Notificações por Email"
"End:","Fim:"
"Errors","Erros"
"Errors collectors timeout (seconds)","Timeout collectors Erros (segundos)"
"Estimated Impact:","Impacto Estimado:"
"Export CSV","Exportar CSV"
"Failed","Falhou"
"Failure reason:","Motivo da falha:"
"Fair","Regular"
"Filter","Filtrar"
"Free key at aistudio.google.com","Chave gratuita em aistudio.google.com"
"Garbage Collection","Garbage Collection"
"Gemini Model","Modelo Gemini"
"Global","Global"
"Global analysis timeout (minutes)","Timeout global da análise (minutos)"
"Good","Bom"
"Google AI Studio API Key (Gemini)","Google AI Studio API Key (Gemini)"
"History","Histórico"
"Hours until cart is abandoned","Horas para carrinho abandonado"
"ID","ID"
"Images above this size are flagged as unoptimized","Imagens acima desse tamanho são sinalizadas como não otimizadas"
"Impact","Impacto"
"Improvement","Melhoria"
"Last analysis:","Última análise:"
"Manual","Manual"
"Maximum image size (KB)","Tamanho máximo de imagem (KB)"
"Maximum total time for a complete analysis","Tempo máximo total para uma análise completa"
"Monthly AI Token Budget","Orçamento mensal de tokens de IA"
"Months until customer is inactive","Meses para cliente inativo"
"N/A","N/A"
"New issues","Novos problemas"
"Next","Próxima"
"No analyses found. Run an analysis from the Dashboard.","Nenhuma análise encontrada. Execute uma análise pelo Dashboard."
"No analysis performed yet.","Nenhuma análise realizada ainda."
"No completed analysis found","No completed analysis found"
"No data.","Sem dados."
"No recommendations available.","Nenhuma recomendação disponível."
"No recommendations found for the selected filters.","Nenhuma recomendação encontrada para os filtros selecionados."
"No recommendations found.","Nenhuma recomendação encontrada."
"No results recorded.","Nenhum resultado registrado."
"No score history yet.","Sem histórico de scores ainda."
"No summary available.","Nenhum resumo disponível."
"Note","Observação"
"Number of products analyzed per catalog collector","Número de produtos analisados por collector de catálogo"
"OpenAI API Key","OpenAI API Key"
"OpenAI Model","Modelo OpenAI"
"Pending","Pendente"
"Performance","Performance"
"Performance collectors timeout (seconds)","Timeout collectors Performance (segundos)"
"Persistent","Persistentes"
"Please wait…","Aguarde…"
"Previous","Anterior"
"Priority","Prioridade"
"Problem Description","Descrição do Problema"
"Queries exceeding this time are reported","Queries que excedem esse tempo são reportadas"
"Recipients (one per line)","Destinatários (um por linha)"
"Recommendation #%1","Recomendação #%1"
"Recommendation not found.","Recomendação não encontrada."
"Recommendation with ID %1 not found.","Recommendation with ID %1 not found."
"Recommendations","Recomendações"
"Recommended Action","Ação Recomendada"
"Request error:","Erro na requisição:"
"Resolved","Resolvidos"
"Restricts sales/order collectors to the selected website. Infrastructure collectors (opcache, logs, cache) are always global.","Restringe collectors de vendas/pedidos ao website selecionado. Collectors de infraestrutura (opcache, logs, cache) são sempre globais."
"Running","Em execução"
"Sales","Vendas"
"Sales collectors timeout (seconds)","Timeout collectors Vendas (segundos)"
"Sample size (products)","Tamanho da amostra (produtos)"
"Schedule","Agendamento"
"Scope","Escopo"
"Scope:","Escopo:"
"Score","Score"
"Score History","Evolução do Score"
"Score:","Score:"
"Select the AI provider for diagnostics","Selecione o provedor de IA para diagnóstico"
"Send Email","Enviar Email"
"Send Webhook","Enviar Webhook"
"Sends a JSON POST {""text"": ""...""} when each analysis completes. Compatible with Slack and Microsoft Teams incoming webhooks.","Envia um POST JSON {""text"": ""...""} ao concluir cada análise. Compatível com incoming webhooks do Slack e do Microsoft Teams."
"Session expired. Reloading…","Sessão expirada. Recarregando…"
"Showing %1–%2 of %3 analysis(es).","Exibindo %1–%2 de %3 análise(s)."
"Showing %1–%2 of %3 recommendation(s).","Exibindo %1–%2 de %3 recomendação(ões)."
"Slow query threshold (seconds)","Threshold de query lenta (segundos)"
"Start:","Início:"
"Status","Status"
"Status:","Status:"
"Store Intelligence","Store Intelligence"
"Store Intelligence — Analysis #%1","Store Intelligence — Análise #%1"
"Store Intelligence — Analysis History","Store Intelligence — Histórico de Análises"
"Store Intelligence — Dashboard","Store Intelligence — Dashboard"
"Store Intelligence — History","Store Intelligence — Histórico"
"Store Intelligence — Recommendations","Store Intelligence — Recomendações"
"Success!","Sucesso!"
"Thresholds","Thresholds"
"Title","Título"
"Top Recommendations","Top Recomendações"
"Tracking timed out. Reload the page to see the result.","Tempo de acompanhamento esgotado. Recarregue a página para ver o resultado."
"Trigger","Gatilho"
"Unknown error.","Erro desconhecido."
"Warning","Aviso"
"Webhook Notifications","Notificações por Webhook"
"Webhook URL","URL do Webhook"
"Website #%1","Website #%1"
"What changed since the last analysis","O que mudou desde a última análise"
"When the limit is reached, analyses continue (deterministic score) but without AI summary/recommendations until next month. 0 = unlimited.","Ao atingir o limite, as análises continuam (score determinístico) mas sem resumo/recomendações de IA até o próximo mês. 0 = sem limite."
"Window End (HH:MM)","Fim da Janela (HH:MM)"
"Window Start (HH:MM)","Início da Janela (HH:MM)"
"none","nenhum"
"Frequency","Frequência"
"The analysis cron runs at the Start Time: daily, every Monday, or on the 1st of each month (store timezone).","O cron de análise dispara no Horário de Início: diariamente, toda segunda-feira ou no dia 1º de cada mês (timezone da loja)."
"Start Time","Horário de Início"
"Custom Cron Expression","Expressão Cron Personalizada"
"Optional: overrides Frequency and Start Time. Full crontab syntax: * (any), , (list), - (range), / (step) and @hourly, @daily, @weekly, @monthly, @yearly. Example: */5 * * * * runs every 5 minutes. @reboot is not supported.","Opcional: sobrescreve Frequência e Horário de Início. Sintaxe crontab completa: * (qualquer), , (lista), - (intervalo), / (passo) e @hourly, @daily, @weekly, @monthly, @yearly. Ex.: */5 * * * * executa a cada 5 minutos. @reboot não é suportado."
"@reboot is not supported: Magento cron has no boot event. Use a periodic expression.","@reboot não é suportado: o cron do Magento não tem evento de boot. Use uma expressão periódica."
"Unknown cron shortcut ""%1"".","Atalho cron desconhecido ""%1""."
"Invalid cron expression ""%1"": expected 5 or 6 space-separated fields.","Expressão cron inválida ""%1"": esperados 5 ou 6 campos separados por espaço."
"Invalid cron expression field ""%1"".","Campo de expressão cron inválido ""%1""."
"Each website separately","Cada website separadamente"
